# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Covariance,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,0.296275,0.297127,0.275831,"0.275831 0.288940 0.297127 0.304966 0.314513",0.014838,N/A,256,1024,0.296633,0.297400,0.276134,"0.276134 0.289261 0.297400 0.305581 0.314791",0.014874,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Contiguous,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.785764,0.767154,0.766890,"0.766890 0.767062 0.767154 0.771142 0.856573",0.039623,1.303968,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_H2D_Contiguous,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.768332,0.768464,0.767144,"0.767144 0.768281 0.768464 0.768794 0.768979",0.000718,1.303536,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_H2D_Contiguous,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.768097,0.768204,0.766830,"0.766830 0.767399 0.768204 0.768960 0.769093",0.000980,1.304071,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_D2H_Contiguous,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000088,0.000084,0.000069,"0.000069 0.000082 0.000084 0.000094 0.000110",0.000015,14439.182165,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_D2H_Contiguous,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000086,0.000087,0.000075,"0.000075 0.000081 0.000087 0.000088 0.000098",0.000008,13278.096452,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_D2H_Contiguous,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000091,0.000092,0.000081,"0.000081 0.000087 0.000092 0.000098 0.000098",0.000007,12301.030826,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Strided,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.972580,1.080410,0.755717,"0.755717 0.756520 1.080410 1.122779 1.147472",0.199052,1.323247,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int16,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,0.000014,0.000010,0.000006,"0.000006 0.000008 0.000010 0.000021 0.000023",0.000008,N/A,256,1024,0.000257,0.000191,0.000178,"0.000178 0.000178 0.000191 0.000193 0.000545",0.000161,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int32,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,0.000010,0.000008,0.000005,"0.000005 0.000007 0.000008 0.000015 0.000016",0.000005,N/A,256,1024,0.000243,0.000183,0.000167,"0.000167 0.000172 0.000183 0.000190 0.000502",0.000145,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int64,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,0.000009,0.000008,0.000006,"0.000006 0.000008 0.000008 0.000010 0.000012",0.000002,N/A,256,1024,0.000249,0.000188,0.000170,"0.000170 0.000172 0.000188 0.000193 0.000526",0.000155,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_fp32,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,0.000009,0.000009,0.000006,"0.000006 0.000008 0.000009 0.000009 0.000013",0.000003,N/A,256,1024,0.000241,0.000181,0.000170,"0.000170 0.000172 0.000181 0.000188 0.000496",0.000143,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_fp64,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,0.000011,0.000008,0.000007,"0.000007 0.000007 0.000008 0.000012 0.000021",0.000006,N/A,256,1024,0.000254,0.000190,0.000175,"0.000175 0.000176 0.000190 0.000207 0.000518",0.000149,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_Hierarchical_int16,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,0.000011,0.000009,0.000008,"0.000008 0.000008 0.000009 0.000011 0.000021",0.000006,N/A,256,1024,0.000267,0.000183,0.000166,"0.000166 0.000174 0.000183 0.000195 0.000616",0.000195,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_Hierarchical_int32,PASS,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,0.000009,0.000009,0.000006,"0.000006 0.000006 0.000009 0.000010 0.000013",0.000003,N/A,256,1024,0.000224,0.000184,0.000061,"0.000061 0.000171 0.000184 0.000186 0.000519",0.000173,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
