# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Covariance,PASS,Tesla M60,0.597478,0.531323,0.468050,"0.468050 0.468145 0.531323 0.753407 0.766467",0.150604,N/A,256,1024,0.631100,0.562543,0.481359,"0.481359 0.529437 0.562543 0.774978 0.807185",0.149302,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Contiguous,PASS,Tesla M60,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.270941,0.299987,0.212898,"0.212898 0.239100 0.299987 0.301349 0.301374",0.042063,4.697091,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_H2D_Contiguous,PASS,Tesla M60,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.301307,0.301529,0.299855,"0.299855 0.301517 0.301529 0.301695 0.301938",0.000829,3.334942,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_H2D_Contiguous,PASS,Tesla M60,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.269495,0.262089,0.257935,"0.257935 0.261616 0.262089 0.263190 0.302644",0.018636,3.876941,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_D2H_Contiguous,PASS,Tesla M60,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.525287,0.517714,0.517080,"0.517080 0.517516 0.517714 0.523489 0.550638",0.014413,1.933938,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_D2H_Contiguous,FAIL,Tesla M60,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.516529,0.516529,0.516529,"0.516529",0.000000,1.935999,ComputeCpp,1.000000
