# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Covariance,PASS,Tesla K80,1.071439,1.006900,1.006531,"1.006531 1.006593 1.006900 1.151917 1.185255",0.089462,N/A,256,1024,1.123809,1.104640,1.011466,"1.011466 1.058504 1.104640 1.217524 1.226911",0.095742,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Contiguous,PASS,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.276451,0.277961,0.250398,"0.250398 0.257815 0.277961 0.285890 0.310190",0.023747,3.993639,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_H2D_Contiguous,PASS,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.260995,0.262459,0.249479,"0.249479 0.261010 0.262459 0.264946 0.267083",0.006846,4.008361,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_H2D_Contiguous,PASS,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.252993,0.265454,0.224095,"0.224095 0.228436 0.265454 0.270428 0.276550",0.024760,4.462389,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_D2H_Contiguous,PASS,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.554216,0.537253,0.521511,"0.521511 0.531729 0.537253 0.551146 0.629439",0.043390,1.917503,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_D2H_Contiguous,FAIL,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.534990,0.534990,0.534990,"0.534990",0.000000,1.869194,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_D2H_Contiguous,PASS,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.534304,0.528759,0.524594,"0.524594 0.528058 0.528759 0.532590 0.557522",0.013286,1.906235,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Strided,PASS,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.266043,0.268166,0.256454,"0.256454 0.264154 0.268166 0.269829 0.271611",0.006028,3.899335,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_H2D_Strided,FAIL,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.001314,0.001314,0.001314,"0.001314",0.000000,761.316011,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_H2D_Strided,FAIL,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000202,0.000202,0.000202,"0.000202",0.000000,4942.909396,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_D2H_Strided,FAIL,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.123383,0.123383,0.123383,"0.123383",0.000000,8.104844,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_D2H_Strided,FAIL,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000145,0.000145,0.000145,"0.000145",0.000000,6888.523032,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_D2H_Strided,FAIL,Tesla K80,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000139,0.000139,0.000139,"0.000139",0.000000,7175.402719,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int16,PASS,Tesla K80,0.000012,0.000011,0.000011,"0.000011 0.000011 0.000011 0.000013 0.000014",0.000001,N/A,256,1024,0.000158,0.000159,0.000143,"0.000143 0.000146 0.000159 0.000161 0.000181",0.000015,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int32,PASS,Tesla K80,0.000010,0.000010,0.000009,"0.000009 0.000010 0.000010 0.000011 0.000011",0.000001,N/A,256,1024,0.000142,0.000141,0.000138,"0.000138 0.000138 0.000141 0.000143 0.000150",0.000005,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int64,PASS,Tesla K80,0.000011,0.000011,0.000011,"0.000011 0.000011 0.000011 0.000011 0.000012",0.000000,N/A,256,1024,0.000141,0.000136,0.000130,"0.000130 0.000132 0.000136 0.000150 0.000156",0.000012,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_fp32,PASS,Tesla K80,0.000011,0.000011,0.000010,"0.000010 0.000011 0.000011 0.000011 0.000014",0.000002,N/A,256,1024,0.000152,0.000141,0.000128,"0.000128 0.000132 0.000141 0.000173 0.000186",0.000026,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
