# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Covariance,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,0.532799,0.533923,0.520913,"0.520913 0.524154 0.533923 0.538482 0.546525",0.010464,N/A,256,1024,0.533204,0.534133,0.521071,"0.521071 0.524522 0.534133 0.539390 0.546905",0.010600,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Contiguous,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.811978,0.793629,0.786889,"0.786889 0.790590 0.793629 0.795232 0.893552",0.045712,1.270828,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_H2D_Contiguous,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.788369,0.787198,0.786414,"0.786414 0.786853 0.787198 0.790201 0.791181",0.002165,1.271594,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_H2D_Contiguous,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.786249,0.786584,0.784912,"0.784912 0.785206 0.786584 0.787220 0.787324",0.001128,1.274027,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_D2H_Contiguous,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000107,0.000106,0.000093,"0.000093 0.000105 0.000106 0.000107 0.000125",0.000011,10768.203648,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_D2H_Contiguous,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000108,0.000111,0.000098,"0.000098 0.000101 0.000111 0.000114 0.000116",0.000008,10166.010959,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_D2H_Contiguous,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000112,0.000112,0.000098,"0.000098 0.000103 0.000112 0.000113 0.000135",0.000014,10248.841881,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Strided,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.733316,0.733988,0.730054,"0.730054 0.731017 0.733988 0.735309 0.736210",0.002680,1.369762,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int16,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,0.000017,0.000015,0.000011,"0.000011 0.000014 0.000015 0.000015 0.000030",0.000007,N/A,256,1024,0.000323,0.000236,0.000212,"0.000212 0.000223 0.000236 0.000271 0.000673",0.000197,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int32,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,0.000014,0.000014,0.000010,"0.000010 0.000010 0.000014 0.000016 0.000020",0.000004,N/A,256,1024,0.000314,0.000230,0.000210,"0.000210 0.000215 0.000230 0.000243 0.000671",0.000200,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_int64,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,0.000012,0.000011,0.000010,"0.000010 0.000010 0.000011 0.000013 0.000015",0.000002,N/A,256,1024,0.000296,0.000216,0.000212,"0.000212 0.000213 0.000216 0.000223 0.000617",0.000180,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_NDRange_fp32,PASS,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,0.000021,0.000018,0.000011,"0.000011 0.000017 0.000018 0.000019 0.000040",0.000011,N/A,256,1024,0.000335,0.000247,0.000217,"0.000217 0.000245 0.000247 0.000258 0.000708",0.000209,N/A,ComputeCpp,N/A
