# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Covariance,PASS,Tesla V100-SXM2-16GB,0.361570,0.348060,0.347760,"0.347760 0.347901 0.348060 0.374655 0.389476",0.019430,N/A,256,1024,0.375883,0.364039,0.350042,"0.350042 0.356046 0.364039 0.394089 0.415198",0.027743,N/A,ComputeCpp,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Contiguous,PASS,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.237544,0.260176,0.168995,"0.168995 0.237133 0.260176 0.260518 0.260899",0.039638,5.917324,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_H2D_Contiguous,PASS,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.260035,0.259997,0.259806,"0.259806 0.259904 0.259997 0.260095 0.260372",0.000217,3.849021,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_H2D_Contiguous,PASS,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.271136,0.260465,0.256480,"0.256480 0.260186 0.260465 0.260528 0.318022",0.026265,3.898945,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_D2H_Contiguous,PASS,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.517188,0.517547,0.515477,"0.515477 0.517464 0.517547 0.517721 0.517730",0.000963,1.939951,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_D2H_Contiguous,FAIL,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.517666,0.517666,0.517666,"0.517666",0.000000,1.931748,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_D2H_Contiguous,PASS,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.517276,0.516830,0.516303,"0.516303 0.516752 0.516830 0.516950 0.519542",0.001291,1.936849,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_H2D_Strided,PASS,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.318781,0.318950,0.317834,"0.317834 0.318608 0.318950 0.319177 0.319336",0.000596,3.146296,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_2D_H2D_Strided,FAIL,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.001165,0.001165,0.001165,"0.001165",0.000000,858.697099,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_3D_H2D_Strided,FAIL,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.000173,0.000173,0.000173,"0.000173",0.000000,5796.127028,ComputeCpp,1.000000
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_HostDeviceBandwidth_1D_D2H_Strided,FAIL,Tesla V100-SXM2-16GB,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.170214,0.170214,0.170214,"0.170214",0.000000,5.874968,ComputeCpp,1.000000
